Include on ELYSIUM site? (Yes/No),TMC Original Name,TMC Shopify Handle,ELYSIUM Site Name (Title),ELYSIUM URL Slug,ELYSIUM Product URL (when live),Short Tagline (Blurb),Full Product Description,"Base Price GBP (from, 1ct lab-grown)",Featured on Homepage? (Yes/No),Stone Shape,Style Tags (comma-separated),Collections (comma-separated),Available Metals (comma-separated),Carat Options (comma-separated),Stone Origin Options (Natural / Lab Grown),Diamond Colour Grades Offered,Diamond Clarity Grades Offered,Certification Options (GIA / IGI),Engraving Available? (Yes/No),Quality Banner Text,SEO Page Title,SEO Meta Description,Has Yellow Gold Images? (Yes/No),Has Rose Gold Images? (Yes/No),Has White Gold / Platinum Images? (Yes/No),Needs New Photography? (Yes/No),Client Notes / Special Instructions
,The Amira Ring™ - Oval with Marquise Accents,the-amira-ring-1,Amira — Oval with Marquise Accents,amira-oval-marquise-accents,https://elysium-mvp.vercel.app/products/amira-oval-marquise-accents,Oval solitaire with a twisted band and marquise accent stones.,"Amira features an oval lab-grown gemstone in a cathedral setting with a twisted band, adorned with four intricately set marquise accent stones. Since its inception, Amira has prevailed as one of our most coveted original designs. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3450,Yes,oval,"accented, twisted-band","engagement-rings, signature-collection, accented, oval","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Amira — Oval with Marquise Accents | ELYSIUM,Oval solitaire with a twisted band and marquise accent stones.,Yes,Yes,No,Yes,
,The Luise Ring® - Oval Solitaire,the-luise-ring-oval-solitaire,Luise — Oval Solitaire,luise-oval-solitaire,https://elysium-mvp.vercel.app/products/luise-oval-solitaire,Modern classic oval solitaire in a delicate basket setting.,"Luise is a modern classic featuring an oval-cut lab-grown gemstone meticulously crafted in a basket setting, blending style and femininity with a millennial twist. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3250,Yes,oval,"solitaire, basket","engagement-rings, signature-collection, solitaire, oval","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Luise — Oval Solitaire | ELYSIUM,Modern classic oval solitaire in a delicate basket setting.,Yes,Yes,Yes,No,
,The Audrey Ring - Emerald Solitaire,the-audrey-ring-emerald-solitaire,Audrey — Emerald Solitaire,audrey-emerald-solitaire,https://elysium-mvp.vercel.app/products/audrey-emerald-solitaire,Emerald-cut step-faceted solitaire in a divine basket setting.,"Audrey features a beautiful emerald-cut lab-grown gemstone with step-cut faceting, elegantly presented in a divine basket setting. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3250,Yes,emerald,"solitaire, basket","engagement-rings, signature-collection, solitaire, emerald","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Audrey — Emerald Solitaire | ELYSIUM,Emerald-cut step-faceted solitaire in a divine basket setting.,Yes,Yes,Yes,No,
,The Vienna Ring - Radiant Solitaire,the-vienna-ring-radiant-solitaire,Vienna — Radiant Solitaire,vienna-radiant-solitaire,https://elysium-mvp.vercel.app/products/vienna-radiant-solitaire,Radiant-cut solitaire with a captivating modern silhouette.,"Vienna dazzles with a radiant-cut lab-grown gemstone in a stunning basket setting, creating a modern and captivating look. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3250,Yes,radiant,"solitaire, basket","engagement-rings, signature-collection, solitaire, radiant","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Vienna — Radiant Solitaire | ELYSIUM,Radiant-cut solitaire with a captivating modern silhouette.,Yes,Yes,Yes,No,
,The Florence Ring - Oval and Pear Cathedral Trilogy,the-florence-ring-oval-and-pear-trilogy,Florence — Oval & Pear Trilogy,florence-oval-pear-trilogy,https://elysium-mvp.vercel.app/products/florence-oval-pear-trilogy,"Oval centre with pear side stones — past, present, future.","Florence features an oval centre stone and two pear side stones, each gemstone representing 'the past, the present, and the future'. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3450,Yes,oval,"trilogy, accented","engagement-rings, signature-collection, trilogy, oval","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Florence — Oval & Pear Trilogy | ELYSIUM,"Oval centre with pear side stones — past, present, future.",Yes,Yes,Yes,No,
,The Ophelia Ring - Elongated Cushion Solitaire,the-ophelia-ring-elongated-cushion-solitaire,Ophelia — Elongated Cushion Solitaire,ophelia-elongated-cushion-solitaire,https://elysium-mvp.vercel.app/products/ophelia-elongated-cushion-solitaire,Elongated cushion solitaire blending oval and rectangular lines.,"Ophelia features an elongated cushion-cut lab-grown gemstone in a beautiful basket setting, offering a unique blend of oval and rectangular stone shapes. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3250,Yes,cushion,"solitaire, basket","engagement-rings, signature-collection, solitaire, cushion","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Ophelia — Elongated Cushion Solitaire | ELYSIUM,Elongated cushion solitaire blending oval and rectangular lines.,Yes,Yes,Yes,No,
,The Avery Ring - Oval With Marquise and Round Brilliant Band,the-avery-ring-oval-with-marquise-and-round-brilliant-band,Avery — Oval with Marquise & Round Brilliant Band,avery-oval-marquise-band,https://elysium-mvp.vercel.app/products/avery-oval-marquise-band,Oval solitaire on a band lined with marquise and round brilliants.,"Avery offers a stunning twist on the modern classic oval solitaire, featuring a detailed band lined with marquise and round brilliant stones. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3450,No,oval,"accented, pave-band","engagement-rings, signature-collection, accented, oval","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Avery — Oval with Marquise & Round Brilliant Band | ELYSIUM,Oval solitaire on a band lined with marquise and round brilliants.,Yes,Yes,Yes,No,
,The Arie Ring - Marquise Solitaire,the-arie-ring-marquise-cut-solitaire,Arie — Marquise Solitaire,arie-marquise-solitaire,https://elysium-mvp.vercel.app/products/arie-marquise-solitaire,Striking elongated marquise solitaire in a basket setting.,"Arie boasts a striking elongated design, with a captivating marquise-cut lab-grown gemstone nestled in a stunning basket setting for a chic and contemporary solitaire appeal. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3250,No,marquise,"solitaire, basket","engagement-rings, signature-collection, solitaire, marquise","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Arie — Marquise Solitaire | ELYSIUM,Striking elongated marquise solitaire in a basket setting.,Yes,Yes,Yes,No,
,The Isla Ring - Round Solitaire,the-isla-ring-round-solitaire-new,Isla — Round Solitaire,isla-round-solitaire,https://elysium-mvp.vercel.app/products/isla-round-solitaire,Forever-classic round solitaire in a basket setting.,"A forever classic, Isla features a round-cut lab-grown gemstone in a stunning basket setting — a mesmerising heirloom piece. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3250,No,round,"solitaire, basket","engagement-rings, signature-collection, solitaire, round","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Isla — Round Solitaire | ELYSIUM,Forever-classic round solitaire in a basket setting.,Yes,Yes,Yes,No,
,The Sophia Ring - Pear Solitaire,the-sophia-ring-4-claw-pear-solitaire,Sophia — Pear Solitaire,sophia-pear-solitaire,https://elysium-mvp.vercel.app/products/sophia-pear-solitaire,Pear-cut solitaire balancing simplicity and sophistication.,"Sophia features a pear-cut lab-grown gemstone set in an exquisite basket setting, achieving the perfect balance between simplicity and sophistication. Metals: 18k Yellow, 18k Rose, 18k White, Platinum. Diamonds: D–F colour, VS1+ clarity. Certification: GIA or IGI.",3250,No,pear,"solitaire, basket","engagement-rings, signature-collection, solitaire, pear","18k Yellow Gold, 18k Rose Gold, 18k White Gold, Platinum, Two-Tone Rose/Platinum, Two-Tone Yellow/Platinum","1ct, 1.5ct, 2ct, 2.5ct, 3ct+","Natural, Lab Grown","D, E, F","IF, VVS1, VVS2, VS1","GIA, IGI",Yes,D–F colour • VS1+ clarity • GIA/IGI certified,Sophia — Pear Solitaire | ELYSIUM,Pear-cut solitaire balancing simplicity and sophistication.,Yes,Yes,Yes,No,
